ID,Name,Address,Latitude,Longitude,Image Link,Detail URL,Category
51,Nineteen Buffet Restaurant - Caravelle Saigon,"Tầng Trệt Caravelle Saigon, 19 - 23 Công Trường Lam Sơn, P. Bến Nghé",10.776229,106.703489,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lwdavrcaopnfa4@resize_ss640x400,https://www.foody.vn/ho-chi-minh/nineteen-buffet-caravelle-hotel,food/sang-trong
5403,Reflections Restaurant - Caravelle Hotel,"Tầng 3 Caravelle Hotel, 19 - 23 Công Trường Lam Sơn, P. Bến Nghé",10.776229,106.703489,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lw8p8hjvpoex8b@resize_ss640x400,https://www.foody.vn/ho-chi-minh/reflections-caravelle-hotel,food/sang-trong
5408,Saigon Saigon Bar - Caravelle Hotel,"Caravelle Hotel, 19 - 23 Công Trường Lam Sơn, P. Bến Nghé",10.776229,106.703489,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lw94ao4yjra1ab@resize_ss640x400,https://www.foody.vn/ho-chi-minh/saigon-saigon-bar-caravelle-hotel,food/sang-trong
5412,Martini Bar - Caravelle Hotel,"Tầng 3 Caravelle Hotel, 19 - 23 Công Trường Lam Sơn, P. Bến Nghé",10.776229,106.703489,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lw9cf3k0y2mz13@resize_ss640x400,https://www.foody.vn/ho-chi-minh/martini-bar-caravelle-hotel,food/sang-trong
1629,Signature Lounge - Caravelle Hotel,"Tầng 9 Caravelle Hotel, 19 - 23 Công Trường Lam Sơn, P. Bến Nghé",10.776229,106.703489,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lwall67upbrvb0@resize_ss640x400,https://www.foody.vn/ho-chi-minh/signature-lounge-caravelle-hotel,food/sang-trong
2402,Nhân Sushi Bito - Fresh Sashimi,"62 Ngô Đức Kế, P. Bến Nghé",10.772308,106.70439,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lw8j9qqsrwm3fb@resize_ss640x400,https://www.foody.vn/ho-chi-minh/nhan-sushi,food/sang-trong
1616,Park Lounge - Park Hyatt Saigon,"Lobby Park Hyatt Hotel, 2 Công Trường Lam Sơn",10.777569,106.703595,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lw9l8zopuimx83@resize_ss640x400,https://www.foody.vn/ho-chi-minh/park-lounge-park-hyatt-saigon,food/sang-trong
72817,Buffet Liberty Central Saigon Riverside,17 Tôn Đức Thắng,10.774073,106.706386,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lw9qkqq433rv4b@resize_ss640x400,https://www.foody.vn/ho-chi-minh/buffet-liberty-central-saigon-riverside,food/sang-trong
1821,Kabin Restaurant - Renaissance Riverside Hotel,"Renaissance Riverside Hotel, 8 - 15 Tôn Đức Thắng",10.774266,106.706455,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lw9ysr6hw063d1@resize_ss640x400,https://www.foody.vn/ho-chi-minh/kabin-restaurant,food/sang-trong
14970,TajmaSago - Hotel & Resort,"6 Phan Văn Chương, Phú Mỹ Hưng",10.724886,106.719797,https://down-vn.img.susercontent.com/vn-11134259-7r98o-lwfb4f6fxfbta1@resize_ss640x400,https://www.foody.vn/ho-chi-minh/tajmasago-buffet-lau-dai-trang,food/sang-trong
